CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
ocean;Ocean;;;;;;;;x  
arctic;Arctic;;;;;;;;x  
farmlands;Farmlands;;;;;;;;x  
forest;Forest;;;;;;;;x  
woods;Woods;;;;;;;;x  
steppe;Steppes;;;;;;;;x  
plains;Plains;;;;;;;;x  
coastal_desert;Coastal Desert;;;;;;;;x  
rich_farmland;Rich Farmland;;;;;;;;x  
good_farmland;Good Farmland;;;;;;;;x  
floodplain_farmland;Floodplain Farmland;;;;;;;;x  
marginal_farmland;Marginal Farmland;;;;;;;;x  
hilly_farmland;Hilly Farmland;;;;;;;;x  
mountain_farmland;Mountain Farmland;;;;;;;;x 
forested_farmland;Forested Farmland;;;;;;;;x  
jungle_farmland;Jungle Farmland;;;;;;;;x  
temperate_grassland;Temperate Grassland;;;;;;;;x  
hills;Hills;;;;;;;;x  
mountain;Mountain;;;;;;;;x  
dry_grassland;Dry Grassland;;;;;;;;x  
hilly_grassland;Hilly Grassland;;;;;;;;x  
mountain_grassland;Mountain Grassland;;;;;;;;x  
semi_desert;Semi-Desert;;;;;;;;x  
semi_desert_hills;Semi-Desert Hills;;;;;;;;x  
semi_desert_mountains;Semi-Desert Mountains;;;;;;;;x  
desert;Desert;;;;;;;;x  
desert_hills;Desert Hills;;;;;;;;x  
desert_mountains;Desert Mountains;;;;;;;;x  
dry_forest;Dry Forest;;;;;;;;x 
dry_forest_hills;Dry Forest Hills;;;;;;;;x  
dry_forest_mountains;Dry Forest Mountains;;;;;;;;x  
deciduous_forest;Deciduous Forest;;;;;;;;x  
deciduous_forest_hills;Deciduous Forest Hills;;;;;;;;x  
deciduous_forest_mountains;Deciduous Forest Mountains;;;;;;;;x  
conifer_forest;Connifer Forest;;;;;;;;x  
conifer_forest_hills;Connifer Forest Hills;;;;;;;;x  
conifer_forest_mountains;Connifer Forest Mountains;;;;;;;;x  
boreal_forest;Boreal Forest;;;;;;;;x  
boreal_forest_hills;Boreal Forest Hills;;;;;;;;x  
boreal_forest_mountains;Boreal Forest Mountains;;;;;;;;x  
jungle;Jungle;;;;;;;;x 
jungle_hills;Jungle Hills;;;;;;;;x  
jungle_mountains;Jungle Mountains;;;;;;;;x  
seasonal_jungle;Seasonal Jungle;;;;;;;;x  
seasonal_jungle_hills;Sesonal Jungle Hills;;;;;;;;x  
seasonal_jungle_mountains;Seasonal Jungle Mountains;;;;;;;;x  
cold_desert;Cold Desert;;;;;;;;x  
cold_desert_hills;Cold Desert Hills;;;;;;;;x  
cold_desert_mountains;Cold Desert Mountains;;;;;;;;x  
tundra;Tundra;;;;;;;;x  
tundra_hills;Tundra Hills;;;;;;;;x  
tundra_mountains;Tundra Mountains;;;;;;;;x  
marsh;Marsh;;;;;;;;x  
boreal_marsh;Boreal Marsh;;;;;;;;x  
swamp_jungle;Swamp Jungle;;;;;;;;x 
canal_kiel;Kiel Canal Zone;;;;;;;;x 
canal_panama;Panama Canal Zone;;;;;;;;x 
canal_suez;Suez Canal Zone;;;;;;;;x 
canal_nicaragua;Nicaragua Canal Zone;;;;;;;;x
special_belize;City;;;;;;;;x 
special_cayenne;Cayenne;;;;;;;;x 	
special_chisinau;City;;;;;;;;x
special_georgetown;Georgetown;;;;;;;;x 	
special_gibraltar;Gibraltar;;;;;;;;x 
special_grand_canyon;Grand Crayon;;;;;;;;x 
special_honolulu;City;;;;;;;;x 	
special_kathmandu;City;;;;;;;;x 
special_kingston;City;;;;;;;;x 
special_lhasa;City;;;;;;;;x  
special_paramaribo;Paramaribo;;;;;;;;x 	
special_malta;Malta;;;;;;;;x
special_port_moresby;Port Moresby;;;;;;;;x
special_nuuk;Nuuk;;;;;;;;x
special_reykjavik;Reykjavik;;;;;;;;x 	
special_thimphu;Thimphu;;;;;;;;x 
special_victoria_falls;Victoria Falls;;;;;;;;x
urban;Urban;;;;;;;;x
urban_abu_dubai;Urban;;;;;;;;x 	
urban_agra;Urban;;;;;;;;x 	
urban_athens;Urban;;;;;;;;x 	
urban_amman;Urban;;;;;;;;x 
urban_amsterdam;Urban;;;;;;;;x 	
urban_ankara;Urban;;;;;;;;x 	
urban_ashgabat;Urban;;;;;;;;x 	
urban_astana;Urban;;;;;;;;x 
urban_asuncion;Urban;;;;;;;;x 
urban_atlanta;Urban;;;;;;;;x 
urban_baghdad;Urban;;;;;;;;x 	
urban_baku;Urban;;;;;;;;x 
urban_bangkok;Urban;;;;;;;;x 
urban_barcelona;Urban;;;;;;;;x 
urban_beijing;Beijing;;;;;;;;x 	
urban_beirut;Urban;;;;;;;;x	
urban_belgrade;Urban;;;;;;;;x
urban_berlin;Urban;;;;;;;;x	
urban_bern;Urban;;;;;;;;x 	
urban_bishkek;Urban;;;;;;;;x 
urban_bogota;Urban;;;;;;;;x 
urban_boston;Urban;;;;;;;;x 
urban_budapest;Urban;;;;;;;;x 	
urban_bratislava;Urban;;;;;;;;x 
urban_brasilia;Urban;;;;;;;;x 	
urban_brunei;Brunei;;;;;;;;x 
urban_brussels;Urban;;;;;;;;x 	
urban_bucharest;Urban;;;;;;;;x 	
urban_buenos_aires;Urban;;;;;;;;x 
urban_cairo;Urban;;;;;;;;x
urban_canberra;Urban;;;;;;;;x 
urban_caracas;Urban;;;;;;;;x 
urban_chicago;Urban;;;;;;;;x 	
urban_colombo;Urban;;;;;;;;x 	
urban_copenhagen;Urban;;;;;;;;x 	
urban_damascus;Urban;;;;;;;;x 
urban_dhaka;Urban;;;;;;;;x 	
urban_dili;Urban;;;;;;;;x 	
urban_doha;Urban;;;;;;;;x 
urban_dubai;Dubai;;;;;;;;x 
urban_dublin;Urban;;;;;;;;x 	
urban_dushanbe;Urban;;;;;;;;x 
urban_frankfurt;Urban;;;;;;;;x 
urban_giza;Urban;;;;;;;;x 
urban_guatemala_city;Urban;;;;;;;;x 
urban_hanoi;Urban;;;;;;;;x 
urban_havana;Urban;;;;;;;;x 	
urban_helsinki;Urban;;;;;;;;x 
urban_hong_kong;City of Hong Kong;;;;;;;;x 	
urban_islamabad;Urban;;;;;;;;x 	
urban_istanbul;Urban;;;;;;;;x 
urban_jakarta;Urban;;;;;;;;x 	
urban_jerusalem;Jerusalem;;;;;;;;x 	
urban_johannesburg;Urban;;;;;;;;x 	
urban_kabul;Urban;;;;;;;;x 
urban_karachi;Urban;;;;;;;;x 
urban_kiev;Urban;;;;;;;;x 
urban_kuala_lumpur;Urban;;;;;;;;x 	
urban_kuwait_city;Urban;;;;;;;;x 
urban_la_paz;La Paz;;;;;;;;x 
urban_lima;Urban;;;;;;;;x 
urban_lisbon;Urban;;;;;;;;x 	
urban_ljubljana;Urban;;;;;;;;x 
