CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
EVT_8020346_DESC;On the path of Pescara and Reggio, L'Aquila has also took the streets protesting the decision from the regional junta to share the regional capital between Pescara and L'Aquila. The revolt started during the junta's sitting, in which as soon as the motion was pushed forward, coins started being thrown to the speaker, bringing the junta to announce the session paused even tho it was actually finished and had passed. Out of the building a mass of people booed the politicians and on the following day city strike was called, the strike quickly got violent, destroying the party Headquarter of all institutional parties except for the MSI and the house of the city mayor was taken assault. On the third day tensions dissipated as PCI's Pietro Ingrao held a speech in the city calling for unity, but the issue is still hot and further parliamentary acts will have a crucial role.;;;;;;;;;;;;;x
EVT_8020347_DESC;The recently formed Centrist government has entered a crisis following minister's Giovanni Gioia (DC) decision to ban private cable TV. The decision came after a long period of discussion about TV. Since the limited introduction of colour TV, the mediatic question has been the major argument in the chambers. First clashes came when minister Gioia representing the ruling DC announced that, after a period of testing, colour TV will be introduced nationwide, while PSDI ministers pushed for the new technology to be used only for important events as the PCI lead a campaign against the introduction, deeming it a useless consumer good, and the PSI backed the DC. Later developments pushed the Communications' Minister to ban private TV to ensure a regulated introduction. This move has proved itself controversial, gaining critics from PSI's Bettino Craxi and prompting the PRI to threaten to withdraw confidence to the government if Gioia isn't sacked. If we don't stand back it is very likely that the President of the Republic will inquire Mariano Rumor to form a quadripartite government with the Centre-Left formula, either Prime Minister Andreotti can sack Gioia and integrate the PRI into the ruling coalition, assigning them the Communication's Ministry. Sectors on the right also push for a controversial move, change the PRI for the MSI-DN, and secure a Centre-Right government standing on their controversial support.;;;;;;;;;;;;;x
EVT_8020348_DESC;Following the formation of the latest Andreotti government, the Prime Minister has had to resign from his place citing the protests from within the party and the ruling coalition, with the PSDI withdrawing support when MSI-DN's votes turned decisive in the last parliamentary meeting. Forced to abdicate, Andreotti is far from having left the arena, with the help of DC veteran Guido Gonella, he has been vying within the party to play the factions to secure a single party government headed by Gonella and with outsider support from the PLI and the MSI-DN, maintaining the Centre-Right shift. Shall he fail in this task it is very likely that Moro and Fanfani's factions will be able to instate the "organic" Centre-Left with Rumor at its head.;;;;;;;;;;;;;x
EVTDESC8020349;Coming off a troubled legislature, this year's elections, finally a regular one, lay their destiny in the hands of the PSI. The leadership of the Socialist Party, having long abandoned the projects of unification with the PSDI, has to take a vital decision as no majority will be able to be formed without their support. Will the Socialists shake once again hands with Berlinguer and the PCI, forming a Left Alternative, or will the PSI manage to sway the DC to their cause forming a left of centre coalition that will be able to enact quick policies?;;;;;;;;;;;;;x
EVT_8020350_DESC;After having succeeded Rumor at the lead of the Centre-Left, Aldo Moro has managed to lead two governments this legislature, keeping at bay PSI's ambitions. Lately the uneasy compromise has broken up following PSI's Secretary Francesco de Martino decision to withdraw support wanting early elections. Under his leadership the PSI has been vying to closer collaboration with the PCI and trying to make it backtrack from its "Historic Compromise" strategy, mending the 1956 split. An option to avoid this event has luckily presented, Prime Minister Moro, the man behind the "Historic Compromise", could form a single party government with outsider support from the PSDI, PLI and PRI, re-launching Centrism.;;;;;;;;;;;;;x
EVTDESC8020351;As PSI's De Martino cuts the head of a chaotic legislature, the medias keep their eye on PCI's Chairman Enrico Berlinguer. The political forces of the whole spectrum have acknowledged the continued growth of the PCI and decided that the time had finally come to come to terms with this italian anomaly. Two options arise, the Historic Compromise and the Left Alternative. To most a Historic Compromise sounds like the most obvious choice, former PM ALdo Moro and Berlinguer have been keeping in contact for a long time and the National Convention of the DC gave the greenlight on his strategy, that would bring the PCI into the constitutional arc and set the basis for a Grand Coalition based on the german model. PCI's Hardliners and the PSI on the other side hope for a change in strategy that will finally bring the PCI and the PSI once again together and finally in power, putting an end to decades of DC rule.;;;;;;;;;;;;;x
EVT_8020352_DESC;At 0123HRS in the morning on the 24th of August $YEAR$ a bomb exploded, killing 12 people and injuring 48. The train was traveling from Rome to Munich; having left Florence about 45 minutes earlier, it was approaching the end of the long San Benedetto Val di Sambro tunnel under the Apennines. Under its own momentum, the train reached the end of the tunnel. The bomb had been planted by neo-fascist Ordine Nero (Black Order) as a revenge for the killing of one of their members by left wing terrorists.;;;;;;;;;;;;;x
EVTDESC8020353;Held in Berlin, at the Interhotel Stadt Berlin, after months of delay, the Conference of Communist and Workers Parties of Europe, signed a turn in the world communist movement. The Soviet CPSU had been pushing for years for the meeting to help strengthen the movement and their position in the world but the conference only helped its weakening. What was meant to be a reconciliation meeting turned into the manifesto of a new communist left, the so called Eurocommunism, a development of marxism in Western Europe adapted to the current liberal-democratic order, spearheaded by Spain's PCE, France's PCF and with Italy's PCI at its helm. During the Conference Finland's SKP, Sweden's VPK, San Marino's PCS and Great Britain's CPGB joined the Eurocommunist camp, while ruling SKJ and PCR, respectively from Socialist Yugoslavia and Romania, also showed sympathies for the anti-Soviet camp. The meeting officialized the position PCF's George Marchais, PCE's Santiago Carrillo and Italy's Enrico Berlinguer had been formulating through various conferences and official visits, beggining Europe's new reformist turn in the communist movement.;;;;;;;;;;;;;x
EVT_8020354_DESC;What the PCI has been fearing since the disarmament of the Garibaldi Brigades in 1945 has finally happened, as soon as they democratically got into power a chain of command with links throughout the military and the secret services has activated to stop communists' road to power. Troops have already mobilized, but luckily the PCI benefits from infilitration into a few key institutions and genuine popular support, the coup leaders will not take power without a fight. Nonetheless the PCI also benefits from a secret paramilitary organization that had been trained with SOviet support to resist situations like this, the paramilitary oganization has also been instructed to protect communist leadership and activists by arranging safe trips to Moscow, where those exiles will be welcomed by the PCSU's brotherly arms.;;;;;;;;;;;;;x
EVTDESC8020355;The no compromise line taken by both the DC and the PCI has proved itself disastrous, after 55 days hostage and several police searches, Aldo Moro's body has been found with 12 shots on the back in a car in Via Caetani, exactly on he road that from Piazza del Gesù (Where the DC Headquarters lay) leads to Via delle Botteghe Oscure (Where the PCI Headquarters lay). The death of 61 years old stateman signs a black day in the history of this republic and a turning point in her politics, with Moro gone the Historic Compromise will hardly be respected under the gegemony of Giulio Andreotti, factional rival of the deceased, who is seen by many people as the archtect behind this kidnapping.;;;;;;;;;;;;;x
EVTDESC8020356;The PSI's appeal to negotiations has proven victorious, after having paid an egregious sum of money, the Red Brigades have released Aldo Moro on the outskirts of Rome, where an exchange was mediated by the armed forces. The statesman has now been greeted by the family and the citizenry that has gathered in the city centre to celebrate the release.;;;;;;;;;;;;;x
EVT_8020357_DESC;Backlash against the Historic Compromise has surged within the ruling DC after the death of Aldo Moro. Prime Minister Giulio Andreotti has angered the PCI by allowing anti-Compromise ministers into his government and as the nation mourns this national tragedy the PCI has found itself eager to have a role in this governement and threatens to lead the country to early elections if they don't get integrated into the current government. The situation seems clear, either a Grand Coalition lead by Andreotti supported by most constitutional arc parties, or early elections.;;;;;;;;;;;;;x
EVTDESC8020358;After Andreotti's refusal to allow ministries to the Communists, the nation has found itself facing early elections. The electorate seems to favour the "secular parties" (PSDI, PLI, PRI) over the traditional forces, that for many are comsidered the cause of Aldo Moro's death. The failure of the Historic Compromise has left the DC and the PCI in a situation of crisis and the gamechanger seems that will lay in those third parties. Necessarily the PSI will have to take part in the government, but will the 'secular parties' be strong enough on their own to close the PSI to the position of an outside supporter or will they triumph over those parties and give legitimacy to the former Organic Centre-Left?;;;;;;;;;;;;;x
EVTDESC8020359;The failure of the Centre-Left has lead to a rightwards shift in the public opinion that has scared many on the left. The boiling topic of this election is the MSI-DN, will they provide a useful ally or will that cause national uproar? The DC can only expect to outcomes, shall the MSI-DN prove itself a democratic force an "Organic" Centre-Right will find its road to power, will they not, many sectors within the ruling DC have been arguing for a renewed Centrism in the vein of the 1950's Centrism but with more partecipation from the 'secular parties' (PSDI, PLI, PRI).;;;;;;;;;;;;;x
EVT_80203060_DESC;9 Years after the 1968's protests, the student's contestation has found a new path. What has been described as the '77 Movement has quickly gained the media's attention. Following the 1969 education reform, University has become accessible for all classes and what used to be a upper middle class movement has turned into a popular movement, animated by the lower stratas of the population. The '77 Movement is characterized by their allegiance to non-parliamentary politics, mainly on the field of the far-left, represented by organizations such as Lotta Continua (Continued Struggle) and Autonomia Operaia (Worker's Autonomy), a new form of feminism and violence in their protests, that has often turned into terrorism. This new counter-culture has also find strong ties to the Punk movement arose in England in this very timeframe..;;;;;;;;;;;;;x
EVT_295_DESC;Around 1237HRS on July 10 $YEAR$, in a small chemical manufacturing plant approximately 20 kilometres (12 mi) north of Milan in the Lombardy region of Italy a chemical-release accident occurred when a batch process was interrupted prior to the completion of the final step – removal of ethylene glycol from the reaction mixture by distillation, due to conformance with an Italian law requiring shutdown of plant operations over the weekend. The incident resulted in the highest known exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) in residential populations, which gave rise to numerous scientific studies and standardized industrial safety regulations. This accident is one of the worst manmade accidents in the history of humanity..;;;;;;;;;;;;;x
