CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
xeu_member;Member of the European Union;;;;;;;;x;;;;;;;;;;;;;
xeu_chairmanship;Holder of the European Union Presidency (Chairmanship);;;;;;;;x;;;;;;;;;;;;;
xeuhigh;European Union Economic Focus;;;;;;;;x;;;;;;;;;;;;;
xeumedium;European Union Research & Development Focus;;;;;;;;x;;;;;;;;;;;;;
xeulow;European Union Integration Focus;;;;;;;;x;;;;;;;;;;;;;
changexeu_title;Change European Union Focus;;;;;;;;;;;;x
changexeu_desc;Since we are the chairman of the European Union, perhaps we should use that power to change the European Union focus to better suit our country's political & economic needs?;;;;;;;;;;;;x
xeulow_title;Select European Union Integration Focus;;;;;;;;;;;;x
xeumedium_title;Select European Union Research & Development Focus;;;;;;;;;;;;x
xeuhigh_title;Select European Union Economic Expansion Focus;;;;;;;;;;;;x
xeulow_desc;European Union Integration Focus to the EU members will not help their economy much.;;;;;;;;;;;;x
xeumedium_desc;European Union Research & Development Focus to the EU members will help their economy a little.;;;;;;;;;;;;x
xeuhigh_desc;European Union Economic Focus to the EU members will help their economy a lot.;;;;;;;;;;;;x
xeuhigh_gp;European Union Economic Focus (Creditor Nation);;;;;;;;;;;;x
xeumedium_gp;European Union Research & Development Focus (Creditor Nation);;;;;;;;;;;;x
xeulow_gp;European Union Integration Focus (Creditor Nation);;;;;;;;;;;;x
