CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
commhigh_gp;High militarisation and low economic focus for the Communist Bloc;;;;;;;;x
commmedium_gp;Medium militarisation and medium economic focus for the Communist Bloc;;;;;;;;x
commlow_gp;Low militarisation and high economic focus for the Communist Bloc;;;;;;;;x
commhigh;High militarisation and low economic focus for the Communist Bloc;;;;;;;;x
commmedium;Medium militarisation and medium economic focus for the Communist Bloc;;;;;;;;x
commlow;Low militarisation and High economic focus for the Communist Bloc;;;;;;;;x
commhigh_title;High militarisation and low economic focus for the Communist Bloc;;;;;;;;x
commmedium_title;Medium militarisation and medium economic focus for the Communist Bloc;;;;;;;;x
commlow_title;Low militarisation and high economic focus for the Communist Bloc;;;;;;;;x
commhigh_desc;High militarisation and low economic focus for the Communist Bloc;;;;;;;;x
commmedium_desc;Medium militarisation and medium economic focus for the Communist Bloc;;;;;;;;x
commlow_desc;Low militarisation and High economic focus for the Communist Bloc;;;;;;;;x
changecommbloc_desc;Eastern Bloc was the name used by NATO-affiliated countries for the former communist states of Central and Eastern Europe, generally the Soviet Union and the countries of the Warsaw Pact. The terms Communist Bloc and Soviet Bloc were also used to denote groupings of states aligned with the Soviet Union, although these terms might include states outside Central and Eastern Europe.;;;;;;;;x
changecommbloc_title;Change focus for the Communist Bloc;;;;;;;;x
